FREGUESIA,PARTIDO,VOTOS
10927,PSN,5
10928,BE,16
10928,CDSPP,213
10928,MPT,4
10928,PCPPEV,56
10928,PCTPMRPP,8
10928,PH,10
10928,PPDPSD,838
10928,PPM,8
10928,PS,1159
10928,PSN,4
10929,BE,4
10929,CDSPP,59
10929,MPT,1
10929,PCPPEV,18
10929,PCTPMRPP,4
10929,PH,1
10929,PPDPSD,372
10929,PPM,0
10929,PS,494
10929,PSN,2
10930,BE,4
10930,CDSPP,117
10930,MPT,0
10930,PCPPEV,14
10930,PCTPMRPP,0
10930,PH,0
10930,PPDPSD,587
10930,PPM,1
10930,PS,305
10930,PSN,2
10931,BE,4
10931,CDSPP,81
10931,MPT,2
10931,PCPPEV,17
10931,PCTPMRPP,1
10931,PH,1
10931,PPDPSD,381
10931,PPM,1
10931,PS,251
10931,PSN,2
11001,BE,3
11001,CDSPP,130
11001,MPT,0
11001,PCPPEV,8
11001,PCTPMRPP,3
11001,PH,1
11001,PPDPSD,302
11001,PPM,6
11001,PS,170
11001,PSN,1
11002,BE,14
11002,CDSPP,325
11002,MPT,5
11002,PCPPEV,48
11002,PCTPMRPP,6
11002,PH,3
11002,PPDPSD,844
11002,PPM,11
11002,PS,541
11002,PSN,1
11003,BE,112
11003,CDSPP,994
11003,MPT,21
11003,PCPPEV,183
11003,PCTPMRPP,28
11003,PH,21
11003,PPDPSD,2133
11003,PPM,23
11003,PS,2242
11003,PSN,8
11004,BE,159
11004,CDSPP,908
11004,MPT,11
11004,PCPPEV,327
11004,PCTPMRPP,47
11004,PH,18
11004,PPDPSD,2801
11004,PPM,34
11004,PS,2788
11004,PSN,16
11101,BE,7
11101,CDSPP,36
11101,MPT,1
11101,PCPPEV,7
11101,PCTPMRPP,1
11101,PH,1
11101,PPDPSD,212
11101,PPM,2
11101,PS,232
11101,PSN,0
11102,BE,11
11102,CDSPP,33
11102,MPT,2
11102,PCPPEV,83
11102,PCTPMRPP,8
11102,PH,2
11102,PPDPSD,239
11102,PPM,3
11102,PS,569
11102,PSN,2
11103,BE,13
11103,CDSPP,73
11103,MPT,1
11103,PCPPEV,62
11103,PCTPMRPP,4
11103,PH,5
11103,PPDPSD,446
11103,PPM,6
11103,PS,897
11103,PSN,4
11104,BE,30
11104,CDSPP,86
11104,MPT,6
11104,PCPPEV,90
11104,PCTPMRPP,5
11104,PH,0
11104,PPDPSD,353
11104,PPM,3
11104,PS,730
11104,PSN,1
11105,BE,31
11105,CDSPP,101
11105,MPT,4
11105,PCPPEV,111
11105,PCTPMRPP,12
11105,PH,1
11105,PPDPSD,549
11105,PPM,2
11105,PS,927
11105,PSN,0
11106,BE,45
11106,CDSPP,162
11106,MPT,0
11106,PCPPEV,183
